,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,ndwi,b_g,b_r,mci,ndci,y,x,spatial_ref,time
168,6,0.024699999,0.060099997,0.0806,0.1003,0.074176066,3.8519083e-06,2.4271001e-05,0.0034999999,0.02,0.0174,0.0175,0.0158,0.0626,0.067999996,0.0263,0.0279,0.7028863,-0.25062346,-0.12569831,-0.41745278,0.6048,0.8035892,1.3410983,0.3632353,0.06167057,-1957805.0,3063485.0,3832,2024-01-01
169,6,0.0313,0.051099997,0.0656,0.0808,0.09449437,4.4775006e-06,3.6689107e-05,0.0037999998,0.025799999,0.0213,0.0211,0.0189,0.0565,0.0695,0.0328,0.0349,0.5858685,-0.22517058,-0.07452909,-0.24029124,0.44157,0.81188124,1.2837574,0.45035973,0.1525705,-1957755.0,3063485.0,3832,2024-01-01
170,6,0.022499999,0.029399998,0.054199997,0.0552,0.06956778,4.8233537e-06,3.8391518e-05,0.0037999998,0.023,0.0196,0.020299999,0.018099999,0.0492,0.039899997,0.026099999,0.027199998,0.4622517,-0.30496454,-0.048355892,-0.13294797,0.42084947,0.981884,1.8435374,0.56390977,0.15151514,-1957705.0,3063485.0,3832,2024-01-01
171,2,0.0197,0.0802,0.1096,0.1417,0.06196692,2.2143543e-06,1.6333208e-05,0.0033,0.0165,0.017199999,0.014099999,0.0134,0.087,0.076,0.021599999,0.023899999,0.8189987,-0.27715185,-0.11495424,-0.60560566,0.75588596,0.7734651,1.3665835,0.25921053,-0.026888631,-1958055.0,3063485.0,3832,2024-01-01
172,2,0.0208,0.078,0.1063,0.1374,0.06288275,2.3843468e-06,1.7611657e-05,0.0033,0.016999999,0.0174,0.0144,0.013599999,0.086899996,0.0758,0.0222,0.0246,0.8102767,-0.27576602,-0.10041408,-0.57894737,0.7370417,0.7736535,1.3628204,0.2744063,-0.0143042905,-1958025.0,3063485.0,3832,2024-01-01
173,2,0.022599999,0.075399995,0.102,0.1318,0.07715425,2.8306274e-06,2.204465e-05,0.0033999998,0.019399999,0.0189,0.0158,0.0149,0.081999995,0.0751,0.0245,0.0265,0.78590786,-0.2722008,-0.10869568,-0.5387755,0.70725393,0.77389985,1.3527852,0.30093208,-0.0019933397,-1957945.0,3063485.0,3832,2024-01-01
174,2,0.021599999,0.0757,0.106,0.1357,0.074334286,2.6566684e-06,2.1776532e-05,0.0033,0.019199999,0.0162,0.015199999,0.0139999995,0.0725,0.0726,0.024,0.026099999,0.7985421,-0.28382215,-0.18767507,-0.55601233,0.7253656,0.78113484,1.4002641,0.29752064,-0.020903578,-1957885.0,3063485.0,3832,2024-01-01
175,3,0.0208,0.075399995,0.101399995,0.13229999,0.06733552,2.718407e-06,1.8477594e-05,0.0033,0.0175,0.0175,0.0139999995,0.0134,0.082899995,0.0748,0.0224,0.024999999,0.80861247,-0.2739528,-0.100379825,-0.5675675,0.72828215,0.7664399,1.3448277,0.27807486,-0.0039946423,-1957985.0,3063485.0,3832,2024-01-01
176,3,0.019299999,0.0808,0.1122,0.14389999,0.064768665,2.227324e-06,1.5900096e-05,0.0033,0.016099999,0.017199999,0.0139999995,0.0133,0.086899996,0.0766,0.0211,0.0234,0.8226726,-0.28081885,-0.12707184,-0.6143856,0.76348037,0.77970815,1.3886139,0.25195822,-0.026683588,-1958065.0,3063485.0,3832,2024-01-01
177,3,0.0243,0.0749,0.1019,0.131,0.08212124,2.9653995e-06,2.4628873e-05,0.0033999998,0.021399999,0.0188,0.0167,0.015899999,0.0823,0.0753,0.0266,0.0286,0.77386594,-0.27246234,-0.10640607,-0.51008064,0.6870573,0.7778626,1.3604805,0.32270914,0.002663111,-1957925.0,3063485.0,3832,2024-01-01
