,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,y,x,spatial_ref,time,cai,ndvi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,stumpf,ln_bg
547,8,0.0512,0.054899998,0.0703,0.0657,0.11830637,1.4906764e-06,2.7859043e-05,0.0029,0.0541,0.061699998,0.0513,0.0471,0.063,0.0579,0.0545,0.0554,-1058595.0,-302535.0,3832,2024-01-01,-0.054763664,-0.03487276,0.12403767,0.12307694,-0.08955227,1.0700152,1.2805101,0.88428324,0.026595766,2.6974583,0.06767285
548,8,0.051799998,0.056199998,0.0721,0.067099996,0.12204758,1.3111382e-06,2.6086931e-05,0.003,0.0554,0.0648,0.0528,0.048899997,0.066,0.0587,0.055999998,0.0574,-1058555.0,-302555.0,3832,2024-01-01,-0.044170883,-0.040740743,0.12867956,0.119266026,-0.088402264,1.0745157,1.2829182,0.88245314,0.021758063,2.6869867,0.071870044
549,8,0.0532,0.0574,0.072799996,0.069699995,0.12956356,1.1194885e-06,2.7204102e-05,0.003,0.057699997,0.0652,0.0546,0.050699998,0.0673,0.0611,0.058,0.059299998,-1058495.0,-302595.0,3832,2024-01-01,-0.039257646,-0.03797469,0.13425547,0.12148025,-0.09677417,1.0444764,1.2682927,0.87070376,0.031223625,2.9646444,0.043515693
550,8,0.052199997,0.0572,0.0735,0.0685,0.12573801,1.1929571e-06,2.796851e-05,0.003,0.0572,0.065,0.053799998,0.0501,0.0687,0.0596,0.057,0.0583,-1058435.0,-302635.0,3832,2024-01-01,-0.033755273,-0.045703866,0.13504557,0.12019623,-0.08989656,1.0729928,1.284965,0.8758389,0.020547943,2.7144015,0.07045175
551,8,0.052699998,0.0578,0.0739,0.0692,0.12607631,8.074224e-07,2.5909269e-05,0.0030999999,0.056399997,0.0663,0.0535,0.0506,0.069,0.06,0.0567,0.0583,-1058375.0,-302675.0,3832,2024-01-01,-0.03428972,-0.046153855,0.13535687,0.12795436,-0.0897638,1.067919,1.2785467,0.87833333,0.018675722,2.757001,0.06571191
552,8,0.0539,0.0594,0.0751,0.0712,0.11722114,1.0962784e-06,2.6562928e-05,0.0032,0.0581,0.067499995,0.0552,0.051599998,0.070599996,0.0626,0.059,0.060099997,-1058415.0,-302755.0,3832,2024-01-01,-0.030885395,-0.04854369,0.13828936,0.12658228,-0.09035221,1.0547752,1.2643098,0.86102235,0.026229525,2.885797,0.053327706
553,8,0.052699998,0.056599997,0.072799996,0.067499995,0.11358444,1.0672748e-06,2.5999825e-05,0.0032,0.0574,0.0667,0.0537,0.050499998,0.0679,0.060399998,0.0576,0.058799997,-1058455.0,-302815.0,3832,2024-01-01,-0.034825824,-0.0356816,0.1231281,0.11386135,-0.087832384,1.0785185,1.2862191,0.8725166,0.03247864,2.6680868,0.07558835
554,8,0.0556,0.06,0.0762,0.0709,0.10771174,9.889155e-07,2.676667e-05,0.0032,0.0605,0.0679,0.057,0.053099997,0.0714,0.063999996,0.060099997,0.061699998,-1058465.0,-302715.0,3832,2024-01-01,-0.03252032,-0.038062286,0.120948635,0.108678654,-0.08326969,1.0747532,1.2700001,0.86875004,0.03225804,2.7339725,0.07209102
555,8,0.053299997,0.058799997,0.072299995,0.0678,0.110155955,1.0842591e-06,2.5986414e-05,0.0032,0.0574,0.067099996,0.053799998,0.0504,0.068399996,0.0611,0.0579,0.058599997,-1058495.0,-302785.0,3832,2024-01-01,-0.027718546,-0.04906334,0.11973579,0.115131594,-0.07109007,1.0663716,1.2295918,0.8723404,0.019182667,2.749406,0.064261824
556,8,0.050699998,0.055299997,0.0703,0.0659,0.124860406,9.96387e-07,2.6492296e-05,0.003,0.055499997,0.0628,0.0525,0.048899997,0.064899996,0.058599997,0.0558,0.057099998,-1058515.0,-302675.0,3832,2024-01-01,-0.039940845,-0.043396227,0.13036022,0.11317568,-0.08745875,1.0667678,1.2712477,0.8651877,0.028972786,2.7217429,0.06463334
