,cc_id,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_mean
785,2,0.19659999,0.1653,0.12709999,0.1599,0.13731378,8.566916e-07,9.772721e-06,0.24689999,0.1103,0.17,0.1085,0.0881,0.19219999,0.2172,0.2339,-0.18122673,0.08648797,0.26409745,0.08648797,-0.06680381,-0.03061536,0.016605172,0.79487175,0.768905,1.0228928,0.07524474,-0.22957449,43.595238
786,2,0.13859999,0.1567,0.1325,0.1611,0.1892663,2.665496e-06,1.4790061e-05,0.1191,0.1114,0.0866,0.0602,0.0875,0.14639999,0.1171,0.125,-0.20454542,-0.061293628,0.1749228,-0.061293628,0.044152826,0.30076706,-0.013845186,0.8224705,0.8455647,0.9467213,-0.03398222,-0.19544269,44.583332
787,2,0.1249,0.1277,0.113,0.13599999,0.18635294,3.1402885e-06,1.7582031e-05,0.117699996,0.1114,0.0867,0.060799997,0.0885,0.14549999,0.116,0.1237,-0.12158808,-0.011084729,0.17683975,-0.011084729,0.023008842,0.22137402,-0.031475127,0.8308824,0.88488644,0.8584193,0.065153696,-0.18526705,48.166668
788,2,0.078999996,0.1169,0.11449999,0.1365,0.15702328,3.250274e-06,2.3701534e-05,0.069299996,0.102299996,0.051999997,0.0424,0.0823,0.1109,0.0735,0.078499995,-0.16361786,-0.19346607,0.08745184,-0.19346607,0.12759909,0.44827586,-0.07734808,0.8388278,0.9794696,0.71235347,-0.026338883,-0.17574985,43.714287
789,2,0.0696,0.1099,0.112399995,0.1331,0.1568396,3.383091e-06,2.4167159e-05,0.069299996,0.1017,0.0524,0.042799998,0.0826,0.1109,0.0735,0.0784,-0.15282051,-0.22451252,0.072347626,-0.22451252,0.14377359,0.43504044,-0.095473275,0.8444778,1.0227479,0.62759244,0.0045289947,-0.16903687,41.214287
790,2,0.0598,0.092099994,0.0973,0.1143,0.12694992,3.86821e-06,2.7238044e-05,0.0552,0.060399998,0.044999998,0.0391,0.072799996,0.0875,0.0583,0.0626,-0.14403296,-0.21263987,0.06503145,-0.21263987,0.12925759,0.43502823,-0.10755816,0.8512686,1.0564604,0.6834286,-0.02561245,-0.1610276,38.52381
791,2,0.0543,0.0764,0.0821,0.0959,0.12748535,3.6173462e-06,2.9546003e-05,0.0554,0.0607,0.0451,0.0391,0.0727,0.087299995,0.058399998,0.0628,-0.060723484,-0.16908951,0.06616868,-0.16908951,0.10274092,0.36028367,-0.113174714,0.8561001,1.0746074,0.6219931,0.06658521,-0.155368,36.20238
792,2,0.13859999,0.1567,0.1325,0.1611,0.1892663,2.665496e-06,1.4790061e-05,0.1191,0.1114,0.0866,0.0602,0.0875,0.14639999,0.1171,0.125,-0.20454542,-0.061293628,0.1749228,-0.061293628,0.044152826,0.30076706,-0.013845186,0.8224705,0.8455647,0.9467213,-0.03398222,-0.19544269,44.583332
793,2,0.1809,0.19739999,0.1539,0.1876,0.14768504,1.0534047e-06,1.1505529e-05,0.1748,0.1083,0.1267,0.086399995,0.0872,0.1811,0.1628,0.1753,-0.27664867,-0.04361617,0.21043721,-0.04361617,0.012012069,0.19376393,0.025454512,0.82036245,0.7796353,0.99889565,-0.043064713,-0.19800904,39.95238
794,2,0.13859999,0.1567,0.1325,0.1611,0.1892663,2.665496e-06,1.4790061e-05,0.1191,0.1114,0.0866,0.0602,0.0875,0.14639999,0.1171,0.125,-0.20454542,-0.061293628,0.1749228,-0.061293628,0.044152826,0.30076706,-0.013845186,0.8224705,0.8455647,0.9467213,-0.03398222,-0.19544269,44.583332
795,2,0.094,0.151,0.15259999,0.1838,0.18945165,4.0267823e-06,2.4428295e-05,0.0731,0.0699,0.0468,0.0383,0.088,0.144,0.0836,0.0894,-0.2684954,-0.23265305,0.09818818,-0.23265305,0.1816866,0.5941023,-0.09796894,0.8302502,1.010596,0.6527778,-0.023728812,-0.18602815,51.54762
796,2,0.0859,0.1505,0.15429999,0.18439999,0.18598773,3.8009553e-06,2.4289478e-05,0.0734,0.069299996,0.046499997,0.038,0.0876,0.1441,0.084,0.0896,-0.27573374,-0.27326563,0.07725606,-0.27326563,0.20142916,0.5972282,-0.10122423,0.83676785,1.0252491,0.59611386,-0.021724384,-0.1782086,49.261906
797,2,0.21319999,0.086799994,0.063999996,0.0824,0.10978889,5.530417e-07,8.091989e-06,0.2402,0.2488,0.2631,0.1874,0.0668,0.13159999,0.1867,0.2126,0.02140675,0.42133334,0.3558214,0.42133334,-0.2581293,-0.52301013,0.026004683,0.77669895,0.73732716,1.6200608,0.20512821,-0.25270244,40.04762
798,2,0.076,0.1453,0.15079999,0.1813,0.16346379,2.9802084e-06,2.7217762e-05,0.060799997,0.0676,0.041699998,0.0354,0.086399995,0.1312,0.070999995,0.0743,-0.27150083,-0.31314957,0.05472575,-0.31314957,0.21941982,0.62600905,-0.110226564,0.8317705,1.0378526,0.5792683,-0.05099458,-0.18419875,48.154762
799,2,0.0578,0.1261,0.13939999,0.1677,0.12900175,3.1345546e-06,2.3881124e-05,0.0526,0.0572,0.039899997,0.035099998,0.0791,0.116,0.060599998,0.0645,-0.27597252,-0.37139755,0.023930285,-0.37139755,0.24014874,0.6156069,-0.14159289,0.83124626,1.1054717,0.49827588,-0.041718327,-0.1848292,45.13095
800,2,0.0495,0.1077,0.1226,0.14649999,0.11101611,2.7551114e-06,2.336748e-05,0.0473,0.056199998,0.037699997,0.0337,0.0782,0.0981,0.0525,0.055999998,-0.22111553,-0.370229,0.020677665,-0.370229,0.22198072,0.5906623,-0.15263571,0.8368601,1.1383473,0.5045872,-0.046647225,-0.17809835,42.25
801,2,0.054199997,0.11229999,0.1278,0.1537,0.122779734,2.9083074e-06,2.3857381e-05,0.052899998,0.056399997,0.0396,0.0352,0.0793,0.1214,0.0611,0.065799996,-0.23418638,-0.34894896,0.030149456,-0.34894896,0.22344078,0.59027416,-0.15563911,0.83149,1.1380233,0.44645798,0.03893883,-0.18453604,43.27381
802,2,0.065799996,0.1405,0.152,0.1848,0.13483694,3.050053e-06,2.590787e-05,0.056599997,0.056399997,0.0413,0.036199998,0.0797,0.121599995,0.0648,0.0703,-0.3120414,-0.36209404,0.03121749,-0.36209404,0.25041556,0.6346749,-0.13618201,0.8225108,1.0818505,0.54111844,-0.072109886,-0.1953937,44.92857
803,2,0.0449,0.0928,0.108399995,0.1283,0.105597325,2.4306833e-06,2.3776416e-05,0.041699998,0.054899998,0.036199998,0.0327,0.077199996,0.0756,0.0449,0.0468,-0.16810346,-0.34785768,0.024660835,-0.34785768,0.1980958,0.5598784,-0.16056082,0.84489477,1.1681035,0.59391534,-0.102137774,-0.16854319,40.261906
804,2,0.0431,0.095,0.118099995,0.1391,0.11168822,2.7728677e-06,2.0128533e-05,0.0437,0.053099997,0.0379,0.0346,0.064899996,0.0865,0.0471,0.0502,-0.2907104,-0.37581462,0.017529385,-0.37581462,0.22466077,0.5717514,-0.18838105,0.8490294,1.2431579,0.49826592,-0.046831973,-0.16366144,36.095238
805,2,0.048699997,0.1173,0.14199999,0.17009999,0.11532059,2.2951542e-06,2.138217e-05,0.0433,0.0534,0.0378,0.0343,0.0647,0.0865,0.046699997,0.049799997,-0.3739719,-0.413253,0.0064727287,-0.413253,0.26802596,0.6363636,-0.18371606,0.83480304,1.2105712,0.56300575,-0.15112856,-0.18055947,38.22619
806,2,0.0515,0.1139,0.1344,0.1612,0.11645156,3.0713736e-06,2.2657207e-05,0.0488,0.0565,0.0389,0.0347,0.0787,0.1134,0.0558,0.059299998,-0.26137963,-0.3772672,0.020429218,-0.3772672,0.24450071,0.6111944,-0.1719375,0.83374685,1.1799824,0.45414463,-0.0021997406,-0.18182546,39.70238
807,10,0.22829999,0.0846,0.0532,0.0761,0.10776883,1.2786984e-06,8.151287e-06,0.2706,0.2681,0.248,0.1407,0.0378,0.1338,0.20639999,0.23519999,-0.16923077,0.45925212,0.36363977,0.45925212,-0.29675254,-0.5303919,0.05289361,0.69908017,0.6288416,1.706278,0.22527471,-0.35798982,19.666666
808,10,0.2545,0.0676,0.043899998,0.0695,0.10234639,1.1182129e-06,7.898556e-06,0.2759,0.2636,0.2355,0.1285,0.0356,0.1259,0.2095,0.23979999,-0.104402505,0.5802546,0.42728332,0.5802546,-0.3513032,-0.5442623,-0.013858515,0.6316547,0.6494083,2.0214455,0.301292,-0.45941243,18.488094
809,10,0.19399999,0.0626,0.0416,0.059299998,0.115486816,1.919055e-06,9.088309e-06,0.22739999,0.25939998,0.2192,0.1244,0.0369,0.110999994,0.17029999,0.19659999,-0.059872627,0.512081,0.33587787,0.512081,-0.28233024,-0.5741473,0.0270714,0.70151776,0.6645367,1.7477478,0.27880183,-0.35450906,18.488094
810,10,0.248,0.083,0.0554,0.077199996,0.14799885,1.9278286e-06,1.0587537e-05,0.28669998,0.253,0.24509999,0.1397,0.0358,0.1255,0.2128,0.249,-0.2149123,0.4984894,0.4036077,0.4984894,-0.32382154,-0.5209432,0.03620475,0.7176166,0.6674699,1.9760957,0.20383692,-0.33181983,17.547619
811,10,0.18769999,0.0883,0.0633,0.0875,0.13449202,1.7458409e-06,1.0533149e-05,0.21509999,0.22919999,0.23709999,0.1733,0.0633,0.13149999,0.1758,0.1944,0.0,0.3601449,0.30653793,0.3601449,-0.2034778,-0.46087494,0.004550618,0.72342855,0.7168743,1.4273764,0.1965423,-0.32375348,26.202381
812,10,0.2023,0.0744,0.0547,0.0758,0.13160859,2.1696387e-06,1.04111405e-05,0.2111,0.21859999,0.23259999,0.17639999,0.057,0.1213,0.1704,0.1917,0.020590885,0.46223348,0.34829825,0.46223348,-0.2558306,-0.5084306,-0.009320914,0.7216358,0.735215,1.6677659,0.23965253,-0.3262347,26.845238
813,10,0.2321,0.109299995,0.076,0.100499995,0.18468478,1.8537044e-06,1.258581e-05,0.27179998,0.2608,0.2713,0.1855,0.058199998,0.1529,0.2146,0.24249999,-0.13263786,0.35969537,0.3573488,0.35969537,-0.24707441,-0.4593868,0.041944712,0.7562189,0.69533396,1.5179856,0.16628528,-0.27942437,29.357143
814,10,0.24509999,0.0683,0.0525,0.075399995,0.14874575,1.3701081e-06,1.1595837e-05,0.2742,0.2552,0.2288,0.15709999,0.0402,0.116,0.2189,0.2518,-0.13268608,0.56413525,0.43170914,0.56413525,-0.3237563,-0.50427353,-0.049408443,0.6962865,0.7686676,2.112931,0.2588171,-0.36199406,19.321428
815,10,0.1775,0.094799995,0.0561,0.0747,0.11103395,1.6237914e-06,9.634357e-06,0.21139999,0.2068,0.2393,0.1753,0.0574,0.1313,0.1679,0.18509999,0.011453741,0.30370915,0.26324922,0.30370915,-0.21581651,-0.5242038,0.11858406,0.75100404,0.5917722,1.3518659,0.16143303,-0.28634426,21.27381
816,10,0.20099999,0.1046,0.0611,0.083,0.09804643,9.0276e-07,7.911726e-06,0.2511,0.17099999,0.2498,0.1732,0.0677,0.1454,0.2007,0.2243,0.051242232,0.315445,0.2903638,0.315445,-0.23666291,-0.5012019,0.115138605,0.7361446,0.58413005,1.3823934,0.16320002,-0.3063287,23.916666
817,10,0.213,0.1068,0.0609,0.0865,0.11100771,9.993851e-07,8.007916e-06,0.2571,0.1731,0.2613,0.1854,0.0639,0.15269999,0.2084,0.2302,0.02403848,0.33208257,0.30471352,0.33208257,-0.24830519,-0.50258774,0.10501812,0.70404625,0.5702247,1.394892,0.1768786,-0.35091123,26.702381
818,10,0.1982,0.1157,0.067,0.0885,0.08739295,5.472064e-07,5.7428506e-06,0.2527,0.19119999,0.2606,0.1873,0.0651,0.15779999,0.20789999,0.22839999,-0.014383061,0.26282257,0.27325708,0.26282257,-0.21918511,-0.49298197,0.13320273,0.75706214,0.57908386,1.2560204,0.1539305,-0.27830994,26.011906
819,10,0.1933,0.1108,0.064399995,0.086899996,0.10037286,6.0101746e-07,6.73647e-06,0.2166,0.1725,0.2625,0.1986,0.0809,0.14829999,0.1788,0.19649999,0.11355818,0.27129236,0.270853,0.27129236,-0.21454279,-0.5025759,0.12089025,0.74108166,0.5812274,1.303439,0.14473175,-0.29964447,27.52381
